,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
0,2022020001,28,18,San Jose Sharks,Nashville Predators,1,4
1,2022020002,18,28,Nashville Predators,San Jose Sharks,3,2
2,2022020003,14,3,Tampa Bay Lightning,New York Rangers,1,3
3,2022020004,54,26,Vegas Golden Knights,Los Angeles Kings,4,3
4,2022020005,6,15,Boston Bruins,Washington Capitals,5,2
5,2022020006,29,12,Columbus Blue Jackets,Carolina Hurricanes,1,4
6,2022020007,10,8,Toronto Maple Leafs,Montréal Canadiens,3,4
7,2022020008,16,21,Chicago Blackhawks,Colorado Avalanche,2,5
8,2022020009,55,24,Seattle Kraken,Anaheim Ducks,4,5
9,2022020010,23,22,Vancouver Canucks,Edmonton Oilers,3,5
10,2022020011,53,5,Arizona Coyotes,Pittsburgh Penguins,2,6
11,2022020012,1,4,New Jersey Devils,Philadelphia Flyers,2,5
12,2022020013,9,7,Ottawa Senators,Buffalo Sabres,1,4
13,2022020014,13,2,Florida Panthers,New York Islanders,3,1
14,2022020015,15,10,Washington Capitals,Toronto Maple Leafs,2,3
15,2022020017,3,30,New York Rangers,Minnesota Wild,7,3
16,2022020016,25,18,Dallas Stars,Nashville Predators,4,1
17,2022020018,21,20,Colorado Avalanche,Calgary Flames,3,5
18,2022020019,16,54,Chicago Blackhawks,Vegas Golden Knights,0,1
19,2022020020,55,26,Seattle Kraken,Los Angeles Kings,4,1
20,2022020021,14,29,Tampa Bay Lightning,Columbus Blue Jackets,5,2
21,2022020022,8,17,Montréal Canadiens,Detroit Red Wings,0,3
22,2022020023,3,52,New York Rangers,Winnipeg Jets,1,4
23,2022020024,12,28,Carolina Hurricanes,San Jose Sharks,2,1
24,2022020025,13,7,Florida Panthers,Buffalo Sabres,4,3
25,2022020026,23,4,Vancouver Canucks,Philadelphia Flyers,2,3
26,2022020027,53,6,Arizona Coyotes,Boston Bruins,3,6
27,2022020028,17,1,Detroit Red Wings,New Jersey Devils,5,2
28,2022020029,8,15,Montréal Canadiens,Washington Capitals,1,3
29,2022020030,9,10,Ottawa Senators,Toronto Maple Leafs,2,3
30,2022020031,14,5,Tampa Bay Lightning,Pittsburgh Penguins,2,6
31,2022020032,24,2,Anaheim Ducks,New York Islanders,1,7
32,2022020033,29,19,Columbus Blue Jackets,St. Louis Blues,2,5
33,2022020034,26,30,Los Angeles Kings,Minnesota Wild,7,6
34,2022020035,18,25,Nashville Predators,Dallas Stars,1,5
35,2022020036,20,22,Calgary Flames,Edmonton Oilers,4,3
36,2022020037,54,55,Vegas Golden Knights,Seattle Kraken,5,2
37,2022020038,16,28,Chicago Blackhawks,San Jose Sharks,5,2
38,2022020039,24,3,Anaheim Ducks,New York Rangers,4,6
39,2022020040,53,10,Arizona Coyotes,Toronto Maple Leafs,4,2
40,2022020041,13,6,Florida Panthers,Boston Bruins,3,5
41,2022020042,5,8,Pittsburgh Penguins,Montréal Canadiens,2,3
42,2022020043,23,15,Vancouver Canucks,Washington Capitals,4,6
43,2022020044,26,17,Los Angeles Kings,Detroit Red Wings,5,4
44,2022020045,21,30,Colorado Avalanche,Minnesota Wild,6,3
45,2022020046,52,25,Winnipeg Jets,Dallas Stars,1,4
46,2022020047,12,55,Carolina Hurricanes,Seattle Kraken,5,1
47,2022020048,24,1,Anaheim Ducks,New Jersey Devils,2,4
48,2022020049,6,9,Boston Bruins,Ottawa Senators,5,7
49,2022020050,23,29,Vancouver Canucks,Columbus Blue Jackets,3,4
50,2022020053,4,14,Philadelphia Flyers,Tampa Bay Lightning,3,2
51,2022020051,28,2,San Jose Sharks,New York Islanders,2,5
52,2022020054,7,22,Buffalo Sabres,Edmonton Oilers,4,2
53,2022020055,54,20,Vegas Golden Knights,Calgary Flames,2,3
54,2022020052,26,18,Los Angeles Kings,Nashville Predators,4,3
55,2022020056,4,13,Philadelphia Flyers,Florida Panthers,3,4
56,2022020057,52,21,Winnipeg Jets,Colorado Avalanche,4,3
57,2022020058,19,55,St. Louis Blues,Seattle Kraken,4,3
58,2022020059,24,6,Anaheim Ducks,Boston Bruins,1,2
59,2022020060,53,8,Arizona Coyotes,Montréal Canadiens,2,6
60,2022020061,25,10,Dallas Stars,Toronto Maple Leafs,2,3
61,2022020062,26,5,Los Angeles Kings,Pittsburgh Penguins,1,6
62,2022020063,18,29,Nashville Predators,Columbus Blue Jackets,3,5
63,2022020064,28,3,San Jose Sharks,New York Rangers,3,2
64,2022020065,15,9,Washington Capitals,Ottawa Senators,2,5
65,2022020066,1,2,New Jersey Devils,New York Islanders,4,1
66,2022020067,23,30,Vancouver Canucks,Minnesota Wild,3,4
67,2022020069,12,22,Carolina Hurricanes,Edmonton Oilers,4,6
68,2022020068,7,20,Buffalo Sabres,Calgary Flames,6,3
69,2022020070,52,54,Winnipeg Jets,Vegas Golden Knights,2,5
70,2022020071,14,13,Tampa Bay Lightning,Florida Panthers,3,2
71,2022020072,17,16,Detroit Red Wings,Chicago Blackhawks,3,4
72,2022020073,55,21,Seattle Kraken,Colorado Avalanche,3,2
73,2022020074,30,6,Minnesota Wild,Boston Bruins,3,4
74,2022020075,28,1,San Jose Sharks,New Jersey Devils,1,2
75,2022020076,53,9,Arizona Coyotes,Ottawa Senators,2,6
76,2022020077,19,22,St. Louis Blues,Edmonton Oilers,2,0
77,2022020078,25,8,Dallas Stars,Montréal Canadiens,5,2
78,2022020079,26,15,Los Angeles Kings,Washington Capitals,3,4
79,2022020080,2,14,New York Islanders,Tampa Bay Lightning,3,5
80,2022020081,5,29,Pittsburgh Penguins,Columbus Blue Jackets,6,3
81,2022020082,10,52,Toronto Maple Leafs,Winnipeg Jets,4,1
82,2022020083,4,18,Philadelphia Flyers,Nashville Predators,3,1
83,2022020084,7,23,Buffalo Sabres,Vancouver Canucks,5,1
84,2022020085,12,20,Carolina Hurricanes,Calgary Flames,2,3
85,2022020086,21,54,Colorado Avalanche,Vegas Golden Knights,3,2
86,2022020087,55,16,Seattle Kraken,Chicago Blackhawks,4,5
87,2022020088,24,17,Anaheim Ducks,Detroit Red Wings,1,5
88,2022020089,29,3,Columbus Blue Jackets,New York Rangers,5,1
89,2022020090,2,13,New York Islanders,Florida Panthers,2,3
90,2022020091,28,4,San Jose Sharks,Philadelphia Flyers,3,0
91,2022020092,25,9,Dallas Stars,Ottawa Senators,2,4
92,2022020093,15,1,Washington Capitals,New Jersey Devils,6,3
93,2022020094,5,22,Pittsburgh Penguins,Edmonton Oilers,3,6
94,2022020095,19,52,St. Louis Blues,Winnipeg Jets,0,4
95,2022020096,10,54,Toronto Maple Leafs,Vegas Golden Knights,1,3
96,2022020097,12,23,Carolina Hurricanes,Vancouver Canucks,3,2
97,2022020098,53,29,Arizona Coyotes,Columbus Blue Jackets,6,3
98,2022020100,25,6,Dallas Stars,Boston Bruins,1,3
99,2022020101,30,8,Minnesota Wild,Montréal Canadiens,3,1
100,2022020102,1,17,New Jersey Devils,Detroit Red Wings,6,2
101,2022020099,21,3,Colorado Avalanche,New York Rangers,3,2
102,2022020103,13,16,Florida Panthers,Chicago Blackhawks,2,4
103,2022020104,5,20,Pittsburgh Penguins,Calgary Flames,1,4
104,2022020105,7,55,Buffalo Sabres,Seattle Kraken,1,5
105,2022020106,14,26,Tampa Bay Lightning,Los Angeles Kings,2,4
106,2022020107,54,28,Vegas Golden Knights,San Jose Sharks,4,2
107,2022020108,3,2,New York Rangers,New York Islanders,0,3
108,2022020109,22,19,Edmonton Oilers,St. Louis Blues,3,1
109,2022020110,14,24,Tampa Bay Lightning,Anaheim Ducks,4,2
110,2022020111,17,6,Detroit Red Wings,Boston Bruins,1,5
111,2022020112,13,4,Florida Panthers,Philadelphia Flyers,3,4
112,2022020113,30,9,Minnesota Wild,Ottawa Senators,4,2
113,2022020114,8,7,Montréal Canadiens,Buffalo Sabres,3,2
114,2022020115,19,18,St. Louis Blues,Nashville Predators,2,6
115,2022020116,22,16,Edmonton Oilers,Chicago Blackhawks,6,5
116,2022020117,15,25,Washington Capitals,Dallas Stars,0,2
117,2022020118,23,55,Vancouver Canucks,Seattle Kraken,5,4
118,2022020119,10,28,Toronto Maple Leafs,San Jose Sharks,3,4
119,2022020120,52,26,Winnipeg Jets,Los Angeles Kings,6,4
120,2022020121,24,54,Anaheim Ducks,Vegas Golden Knights,0,4
121,2022020122,6,29,Boston Bruins,Columbus Blue Jackets,4,0
122,2022020123,21,1,Colorado Avalanche,New Jersey Devils,0,1
123,2022020124,2,12,New York Islanders,Carolina Hurricanes,6,2
124,2022020125,5,23,Pittsburgh Penguins,Vancouver Canucks,1,5
125,2022020126,52,53,Winnipeg Jets,Arizona Coyotes,3,2
126,2022020127,3,25,New York Rangers,Dallas Stars,6,3
127,2022020128,9,13,Ottawa Senators,Florida Panthers,3,5
128,2022020129,14,28,Tampa Bay Lightning,San Jose Sharks,4,3
129,2022020130,12,4,Carolina Hurricanes,Philadelphia Flyers,4,3
130,2022020131,16,7,Chicago Blackhawks,Buffalo Sabres,3,4
131,2022020132,30,17,Minnesota Wild,Detroit Red Wings,1,2
132,2022020133,8,19,Montréal Canadiens,St. Louis Blues,7,4
133,2022020134,10,26,Toronto Maple Leafs,Los Angeles Kings,2,4
134,2022020135,21,2,Colorado Avalanche,New York Islanders,4,5
135,2022020136,15,18,Washington Capitals,Nashville Predators,3,0
136,2022020137,22,20,Edmonton Oilers,Calgary Flames,3,2
137,2022020138,5,55,Pittsburgh Penguins,Seattle Kraken,1,3
138,2022020139,29,1,Columbus Blue Jackets,New Jersey Devils,1,7
139,2022020140,30,16,Minnesota Wild,Chicago Blackhawks,4,3
140,2022020141,3,53,New York Rangers,Arizona Coyotes,3,2
141,2022020142,10,24,Toronto Maple Leafs,Anaheim Ducks,3,4
142,2022020143,52,54,Winnipeg Jets,Vegas Golden Knights,1,2
143,2022020144,17,7,Detroit Red Wings,Buffalo Sabres,3,8
